ප්‍රධානත්වයෙන්,pradhanathwayen
ප්‍රකාශය,prakashaya
න්‍යාය,nyaya
වතු,wathu
මාර්ගයක්,margayak
නිලධාරී,niladharee
තැබීම,thebeema
ඇමති,emathi
පිළිගැනීම,piligeneema
යම්කිසි,yamkisi
මන්ත්‍රීවරුන්,manthreewarun
මධ්‍යස්ථාන,madhyasthana
පිරි,piri
ඇම්,em
අටුවා,atuwa
පොතේ,pothe
කාර්යාලයේ,karyalaye
අහිංසක,ahinsaka
අලූත්,aluth
සංගීතය,sangeethaya
ප්‍රචාරක,pracharaka
නියෝග,niyoga
රාළහාමි,ralahami
ව්‍යාපාරික,wyaparika
දෙතුන්,dethun
ජූලි,juli
ක්‍රියාවක්,kriyawak
සැලකිල්ලට,selakillata
රාත්‍රි,rathri
ජපානයේ,japanaye
ලෝකයෙහි,lokayehi
රෝගීන්,rogeen
බඩ,bada
අතරේ,athare
හඳුන්වනු,handunwanu
ක්‍රියාව,kriyawa
කරන්ඩ,karanda
පාන,pana
ප්‍රකාශනය,prakashanaya
කෑමට,kemata
පුද්ගලයකු,pudgalayaku
වලදී,waladee
ලැබුණි,lebuni
මට්ටම,mattama
ප්‍රවාහන,prawahana
පමණයි,pamanayi
ගෙන්වා,genwa
කැටයම්,ketayam
ඔහොම,ohoma
සිතුවේ,sithuwe
විටත්,witath
ලක්ෂණයක්,lakshanayak
රෝගී,rogee
ප්‍රමාණයේ,pramanaye
භාජන,bhajana
දෙවියන්ට,dewiyanta
චිත්‍රපට,chithrapata
අතිරේක,athireka
සිවිල්,siwil
ශාස්ත්‍රීය,shasthreeya
විඳින,windina
ප්‍රචණ්ඩ,prachanda
කියන්නට,kiyannata
සිහිය,sihiya
ලබාගත්,labagath
මියගිය,miyagiya
ප්‍රදානය,pradanaya
දීමේ,deeme
ගෑනු,genu
කියලයි,kiyalayi
කරගන්න,karaganna
එකකි,ekaki
ඌව,uwa
ප්‍රශ්නයට,prashnayata
අවධියේ,awadhiye
පුහුණුව,puhunuwa
පුර,pura
අවශේෂ,awashesha
සිරිමල්,sirimal
වම්,wam
යොදවා,yodawa
බලපෑමක්,balapemak
පෙනෙන්නේ,penenne
පිළියෙල,piliyela
ඇසුවේ,esuwe
අවසානය,awasanaya
සැලකෙන,selakena
යවා,yawa
ප්‍රයෝජනයට,prayojanayata
ආශාව,ashawa
හුදු,hudu
හිම,hima
සේවයක්,sewayak
ශාක,shaka
කලාත්මක,kalathmaka
ඖෂධ,aushadha
ශත,shatha
පැහැර,pehera
පාත්‍ර,pathra
කාලේ,kale
ඇතුළට,ethulata
සේවාවක්,sewawak
සිදුවීම්,siduweem
විරිත්,wirith
යාමේ,yame
පිළිගෙන,piligena
කෙනකු,kenaku
ඉල්ලුම්,illum
පලා,pala
හිතන්නෙ,hithanne
දෙන්නා,denna
දෘෂ්ටිය,dshtiya
සමාගම්,samagam
බෞද්ධයන්,bauddhayan
කෝපයෙන්,kopayen
කෙරුණු,kerunu
ආවේණික,awenika
රටාව,ratawa
පැත්තට,peththata
පක්ෂයට,pakshayata
ඉල්ලීම,illeema
අතීතය,atheethaya
රාජසිංහ,rajasinha
ආවෙ,awe
වීමයි,weemayi
කන්ද,kanda
ආයෝජන,ayojana
සාමාජිකයන්,samajikayan
ස්ටාලින්,stalin
සම්පූර්ණයෙන්ම,sampurnayenma
සංඛ්‍යාවක්,sankyawak
පසක්,pasak
සේවයට,sewayata
බුද්ධි,buddhi
වෙච්ච,wechcha
මිත්‍ර,mithra
බුදුදහම,bududahama
බලතල,balathala
කුස,kusa
අනුග්‍රහය,anugrahaya
සිසු,sisu
ලාභ,labha
පෙරේදා,pereda
කළෝ,kalo
සහල්,sahal
දවසේ,dawase
ගෞරව,gaurawa
කරගැනීම,karageneema
උගේ,uge
අනාගතය,anagathaya
වටිනාකම,watinakama
ලබාදෙන,labadena
පසුබිම,pasubima
එතැන්,ethen
සංග්‍රහ,sangraha
වැසියන්,wesiyan
වාර්ෂික,warshika
මෙසේය,meseya
ආලය,alaya
සටන,satana
වාණිජ,wanija
යමු,yamu
මාර්ගයෙන්,margayen
පිටපත්,pitapath
ප්‍රාථමික,prathamika
නැමැති,nemethi
දිවයිනේ,diwayine
දියත්,diyath
දෑත්,deth
ජුනි,juni
කියූ,kiyu
ඉඩකඩ,idakada
විවාහය,wiwahaya
මනෝ,mano
නිකායේ,nikaye
දීමෙන්,deemen
විජය,wijaya
පැවැත්වූ,pewethwu
ගැටළු,getalu
ගැමියන්,gemiyan
හැමදාම,hemadama
දූෂණය,dushanaya
දරණ,darana
කෝපය,kopaya
අවවාද,awawada
ස්ථවිරයන්,sthawirayan
විද්‍යාලය,widyalaya
කියායි,kiyayi
කදිම,kadima
ඒව,ewa
අසන,asana
අනවශ්‍ය,anawashya
හීන,heena
සිටිනු,sitinu
විමුක්තිය,wimukthiya
රාජ්‍යයක්,rajyayak
රත්නායක,rathnayaka
දවල්,dawal
කාර්යයක්,karyayak
ඇතුල්,ethul
ආකල්ප,akalpa
නින්ද,ninda
නඟන,nangana
දෙපස,depasa
දැක්ක,dekka
ඉක්මන්,ikman
විශේෂිත,wisheshitha
මුණ,muna
පත්‍රිකා,pathrika
දරුවන්ගේ,daruwange
තුමා,thuma
එනිසා,enisa
සකසා,sakasa
වීමක්,weemak
මූල්‍ය,mulya
ප්‍රත්‍යක්ෂ,prathyaksha
නොදන්නා,nodanna
ග්‍රීක,greeka
උගතුන්,ugathun
අන්තිම,anthima
යති,yathi
බෝ,bo
දුන්න,dunna
ගණන,ganana
සාදා,sada
යනාදී,yanadee
පත්විය,pathwiya
ඉඩක්,idak
අතිශය,athishaya
භාෂාවේ,bhashawe
බියෙන්,biyen
පත්වීම,pathweema
නිවන්,niwan
දියුණුව,diyunuwa
කොට්ඨාසයේ,kottasaye
එදිනෙදා,edineda
ෆෙඩරල්,fedaral
හත්,hath
වචනයක්,wachanayak
මූල,mula
මිතුරන්,mithuran
මහන්සි,mahansi
ගම්පහ,gampaha
සපුරා,sapura
රීතිය,reethiya
දිස්ත්‍රික්කය,disthrikkaya
ගිණුම්,ginum
හැරුණු,herunu
යටපත්,yatapath
බිත්ති,biththi
කෘෂිකාර්මික,kshikarmika
එළි,eli
සලකුණු,salakunu
විටක,witaka
බලපාන,balapana
පුද්ගලික,pudgalika
පාසලේ,pasale
කලක,kalaka
කටු,katu
ස්ථාපිත,sthapitha
ගැහැණු,gehenu
කෙළින්,kelin
සිහියෙන්,sihiyen
රිය,riya
මහවැලි,mahaweli
බැලුවේ,beluwe
දාර්ශනික,darshanika
තබාගෙන,thabagena
ගැනීමටත්,geneematath
අමාරු,amaru
බුලත්,bulath
තුලින්,thulin
ඇමරිකානු,emarikanu
ස්ථානයට,sthanayata
සම්භාව්‍ය,sambhawya
විහාරයේ,wiharaye
රාහුල,rahula
පරිහරණය,pariharanaya
ගැබ්,geb
ගද්‍ය,gadya
කහ,kaha
පොළ,pola
ධනය,dhanaya
විශ්වාසයක්,wishwasayak
වයඹ,wayamba
දෙකකින්,dekakin
නාද,nada
ගබඩා,gabada
එකෙක්,ekek
විවරණය,wiwaranaya
පුරාම,purama
පිටි,piti
පාර්ලිමේන්තුවට,parlimenthuwata
පතල්,pathal
තිබී,thibee
ගමෙහි,gamehi
කෙරෙන්නේ,kerenne
ශාස්ත්‍ර,shasthra
රාජකාරිය,rajakariya
සමන්,saman
පැත්තෙන්,peththen
ප්‍රත්‍යය,prathyaya
ඒම,ema
ආලෝකය,alokaya
අවුත්,awuth
දැරිය,deriya
අතුරුදහන්,athurudahan
ව්‍යාපාරයේ,wyaparaye
රාත්‍රියේ,rathriye
මරතීනු,maratheenu
දිවා,diwa
දත,datha
තනතුරු,thanathuru
හිටි,hiti
සිටියාය,sitiyaya
පෙ,pe
පුත්‍රයා,puthraya
කටින්,katin
සිතුම්,sithum
මූණ,muna
දොරටුව,doratuwa
ශාලාව,shalawa
බෝධි,bodhi
බුදුන්ගේ,budunge
ප්‍රයෝජනවත්,prayojanawath
උණුසුම්,unusum
ඇතැ,ethe
රජුන්,rajun
නුවණ,nuwana
දීලා,deela
තෑගි,thegi
ගාමිණී,gaminee
කිරීමෙහි,kireemehi
ඉදිරිපිට,idiripita
මවගේ,mawage
පෑ,pe
ප්‍රේමය,premaya
මෙතන,methana
ශබ්දය,shabdaya
තට්ටු,thattu
සමාව,samawa
මෙලොව,melowa
මල,mala
ගස,gasa
ඕනි,oni
හයක්,hayak
සන්ධානයේ,sandhanaye
ප්‍රචාරය,pracharaya
අදත්,adath
විගස,wigasa
යෙදීම,yedeema
නිදා,nida
ධාවනය,dhawanaya
දෙවි,dewi
උදාහරණ,udaharana
ආව,awa
හැමෝම,hemoma
සෝමා,soma
විනාඩි,winadi
බිත්තර,biththara
පරපුර,parapura
ධාතු,dhathu
උණා,una
අතහැර,athahera
දෘෂ්ටි,dshti
තියා,thiya
තර්කය,tharkaya
අතකින්,athakin
සතිය,sathiya
වැදී,wedee
පැමිණියේය,peminiyeya
ප්‍රතිපත්තිය,prathipaththiya
ධර්‍මය,dharmaya
දැන්වීම්,denweem
කාර්යාල,karyala
අදහසින්,adahasin
අක්කා,akka
සැලකූ,selaku
සහන,sahana
ශාසනයෙහි,shasanayehi
තත්ත්වයකට,thaththwayakata
චීනයේ,cheenaye
කුමරු,kumaru
අයිය,ayiya
සංක්‍රමණය,sankramanaya
රඳා,randa
ගෞරවය,gaurawaya
කෙමෙන්,kemen
හිතන්න,hithanna
සැඟවී,sengawee
මෙතරම්,metharam
පිළිකුල්,pilikul
පියාගේ,piyage
නිවාඩු,niwadu
නටබුන්,natabun
දෑස්,des
අධිකරණය,adhikaranaya
හුවමාරු,huwamaru
විද්‍යාඥයන්,widyagnayan
දුන්හ,dunha
තාක්ෂණික,thakshanika
තහඩු,thahadu
ස්ත්‍රීන්,sthreen
බොහොමයක්,bohomayak
පුද්ගලයෙක්,pudgalayek
තනා,thana
ගෙයක්,geyak
අවධානයට,awadhanayata
අතුරෙන්,athuren
වචනයෙන්,wachanayen
උනන්දුවක්,unanduwak
විපක්ෂ,wipaksha
මැදිහත්,medihath
පොලීසිය,poleesiya
පත්වන,pathwana
ධර්‍ම,dharma
කෙළෙමි,kelemi
කලකට,kalakata
ඉඳලා,indala
පාරිභෝගික,paribhogika
තොමෝ,thomo
කටයුත්තක්,katayuththak
ආයතනයක්,ayathanayak
ශරීර,shareera
භූමියේ,bhumiye
කෘතියක්,kthiyak
ක්‍රමයේ,kramaye
ඒකෙ,eke
උරුම,uruma
අවස්ථාවලදී,awasthawaladee
සෙයින්,seyin
යන්නෙන්,yannen
පෙරමුණේ,peramune
දෙකකි,dekaki
කොපමණ,kopamana
ක්‍රීඩාව,kreedawa
අසීරු,aseeru
ලැබුණ,lebuna
පීරිස්,peeris
පය,paya
නොදී,nodee
දන්,dan
ගෙවන,gewana
ඒකක,ekaka
ආශ්‍රය,ashraya
හදිසියේ,hadisiye
සිනමා,sinama
මුදුන්,mudun
ඇතිවිය,ethiwiya
අංගයක්,angayak
සීමාව,seemawa
සම්පන්න,sampanna
කිසිවෙක්,kisiwek
කැඩී,kedee
අන්දම,andama
වගකීම්,wagakeem
මැනවි,menawi
බුදුහු,buduhu
තුඩු,thudu
සමාජීය,samajeeya
මණ්ඩලයට,mandalayata
ගැටලූ,getalu
සංබ්‍යාව,sanbyawa
විත්,with
යුක්තව,yukthawa
දක්වමින්,dakwamin
තුන්වන,thunwana
තිබුණත්,thibunath
ගෙඩි,gedi
ගත්තාය,gaththaya
කලී,kalee
සිරිසේන,sirisena
ලෝකයට,lokayata
පිළිම,pilima
නිදසුනක්,nidasunak
ගුප්ත,guptha
කියවන,kiyawana
කම,kama
පෙනෙන්නට,penennata
නැවතී,newathee
නපුරු,napuru
ක්‍රියාවට,kriyawata
ඒකාබද්ධ,ekabaddha
බාලසූරිය,balasuriya
දේවාලය,dewalaya
ආණ්ඩුවක්,anduwak
ආකාරයකින්,akarayakin
අමෙරිකානු,amerikanu
ශාස්ත්‍රය,shasthraya
විදහා,widaha
ල,la
රත්නපුර,rathnapura
සවන්,sawan
රසවත්,rasawath
දිව්‍ය,diwya
තර,thara
එලෙස,elesa
උන්වහන්සේගේ,unwahansege
අනුන්,anun
ප්‍රජා,praja
ක්ෂේත්‍රයේ,kshethraye
හදා,hada
ස්වරූපයක්,swarupayak
වදාළ,wadala
මතුපිට,mathupita
පෙරහැර,perahera
පල,pala
ගායනා,gayana
ඕනැ,one
හිමිකම්,himikam
මුදලාලි,mudalali
ප්‍රමාද,pramada
නැඹුරු,nemburu
දැකීමට,dekeemata
ආධ්‍යාත්මික,adhyathmika
පොලිසියට,polisiyata
පැවැත්විණි,pewethwini
පතා,patha
ගැලපෙන,gelapena
ආරම්භක,arambhaka
හඳුන්වන්නේ,handunwanne
මහත්වරු,mahathwaru
භය,bhaya
පැවසුවේ,pewasuwe
තාම,thama
හොර,hora
හිතනවා,hithanawa
හැරීම,hereema
සමඟම,samangama
විසිතුරු,wisithuru
මැ,me
දැක්,dek
අනුකරණය,anukaranaya
තරහ,tharaha
කොටසේ,kotase
ඇතුලු,ethulu
අමතා,amatha
සිතිවිලි,sithiwili
කොමසාරිස්,komasaris
වාර්යා,warya
පිරිවැය,piriweya
පයින්,payin
නෙ,ne
දෙදෙනෙක්,dedenek
දිස්,dis
ජවිපෙ,jawipe
ජනශ්‍රැති,janashrethi
ගන්ට,ganta
ඉර,ira
සීගිරි,seegiri
ස්වර,swara
වෙත්ද,wethda
පනත,panatha
පත්වී,pathwee
ගුරුවරුන්,guruwarun
ඉතුරු,ithuru
අවුරුද්දක්,awuruddak
වගාව,wagawa
මිනිසාට,minisata
භික්ෂූන්ට,bhikshunta
පත්තිනි,paththini
පත්කර,pathkara
නොකොට,nokota
දියණිය,diyaniya
කැබිනට්,kebinat
එනව,enawa
උග්‍ර,ugra
මතයක්,mathayak
පිරුණු,pirunu
පව්,paw
පණ්ඩිත,panditha
ජර්මන්,jarman
කොටු,kotu
ඉඳ,inda
සහභාගී,sahabhagee
පිටුපස,pitupasa
කෝට්ටේ,kotte
අශෝක,ashoka
සන්නද්ධ,sannaddha
මැදින්,medin
බෙදී,bedee
ප්‍රතිසංස්කරණ,prathisanskarana
ඉදිරියෙන්,idiriyen
ආයෙත්,ayeth
අමාත්‍යාංශයේ,amathyanshaye
සිටියෙමි,sitiyemi
භක්තිය,bhakthiya
පුවරු,puwaru
පාදක,padaka
පරීක්ෂක,pareekshaka
නෙවි,newi
දර,dara
කොහේ,kohe
කළොත්,kaloth
උදෑසන,udesana
අඹ,amba
යමෙක්,yamek
මැතිවරණයේ,methiwaranaye
මාමා,mama
පාරට,parata
දේවාල,dewala
ඔයාගෙ,oyage
විසඳුමක්,wisandumak
රත්,rath
නවකථා,nawakatha
කරගන්නා,karaganna
ඉරිදා,irida
සමාජයක්,samajayak
පුළුව,puluwa
පියවරක්,piyawarak
ප්‍රේමදාස,premadasa
නාවික,nawika
තාවකාලික,thawakalika
උපුටා,uputa
හමුදාවේ,hamudawe
මෙහෙණක්,mehenak
භාවිතයට,bhawithayata
ප්‍රංශ,pransha
දිනක,dinaka
ගොවිතැන්,gowithen
ගා,ga
ගංගා,ganga
කෙරෙයි,kereyi
ශිලා,shila
විඥානය,wignanaya
දහයක්,dahayak
ඩේවිඩ්,dewid
එන්,en
හැඳින්වීම,hendinweema
සිද්ධියක්,siddhiyak
සාපේක්ෂ,sapeksha
වැඩිදුරටත්,wediduratath
වැඩට,wedata
ව්‍යාපාරයක්,wyaparayak
වළ,wala
චාරිත්‍ර,charithra
විද්‍යාල,widyala
රූපයක්,rupayak
මොහොතක්,mohothak
පැවැත්වීම,pewethweema
දෙවියන්ගේ,dewiyange
ජනවාරි,janawari
කකුල්,kakul
හෙමින්,hemin
හඬක්,handak
සියළුම,siyaluma
ශිල්ප,shilpa
විසින්ම,wisinma
ලේඛන,lekana
පැතුම්,pethum
පාරාජිකා,parajika
සේවාවන්,sewawan
වෙමු,wemu
විසඳුම්,wisandum
රෝහල්,rohal
කඳ,kanda
රජමහා,rajamaha
බිඳී,bindee
තුනකට,thunakata
ගතිය,gathiya
අළුත්,aluth
හැඟේ,henge
ශාරීරික,shareerika
විනා,wina
බඳවා,bandawa
පඩි,padi
ජාතකය,jathakaya
කවිය,kawiya
කරු,karu
එතෙක්,ethek
පුත්‍ර,puthra
පළමුවන,palamuwana
දැකීම,dekeema
කෙරෙන්,keren
කාමය,kamaya
වෙස්,wes
භුක්ති,bhukthi
පළල,palala
නිලමේ,nilame
දහ,daha
කීර්ති,keerthi
කළුතර,kaluthara
වුණාට,wunata
මධ්‍යස්ථානයේ,madhyasthanaye
කරුවන්,karuwan
කටයුතුවලට,katayuthuwalata
ආදරණීය,adaraneeya
සිද්ධි,siddhi
තෙත්,theth
කලබල,kalabala
උත්සාහය,uthsahaya
ඉවහල්,iwahal
වියළි,wiyali
වැ,we
වාසි,wasi
ගන්ඩ,ganda
ස්ත්‍රිය,sthriya
සංස්ථාව,sansthawa
වේලාව,welawa
ලේබන,lebana
මාවත,mawatha
නොකිරීම,nokireema
ජාතීන්ගේ,jatheenge
කෘතියේ,kthiye
කාර්යාලයට,karyalayata
සම්මාන,sammana
ප්‍රසන්න,prasanna
දෙයක්ම,deyakma
ගැනීමයි,geneemayi
ගහ,gaha
සැලකේ,selake
සලකනු,salakanu
සමෘද්ධි,samddhi
වෙයිද,weyida
පුද්ගලයාට,pudgalayata
පැත්ත,peththa
අධිපති,adhipathi
සුලභ,sulabha
ලැබු,lebu
ලාංකීය,lankeeya
දනියි,daniyi
දක්වන්නේ,dakwanne
තියන,thiyana
ගැට,geta
ගන්නෙ,ganne
උණු,unu
ඇලන්,elan
අයකු,ayaku
යවන,yawana
නුඹට,numbata
දෙනාට,denata
දෙදෙනෙකු,dedeneku
තරු,tharu
ත,tha
ජාතීන්,jatheen
ඈතින්,ethin
අසාර්ථක,asarthaka
සුපුරුදු,supurudu
විඳ,winda
මාසික,masika
පත්වූ,pathwu
කොටුව,kotuwa
සතුටක්,sathutak
වෙන්ඩ,wenda
වැඩිහිටි,wedihiti
බලයෙන්,balayen
නිහඬව,nihandawa
ගැසී,gesee
ආදියෙන්,adiyen
සිරිත,siritha
මට්ටමින්,mattamin
බැලුවා,beluwa
පැහැ,pehe
පාඩම්,padam
පසෙක,paseka
නියෝජිත,niyojitha
ක්‍රිස්තියානි,kristhiyani
සාකච්ඡාවට,sakachchawata
තීරණාත්මක,theeranathmaka
එකිනෙක,ekineka
අඳුර,andura
අනුලා,anula
අනුකූල,anukula
හමුදාවට,hamudawata
සදාචාර,sadachara
වැන්,wen
වැඩසටහන්,wedasatahan
මුදා,muda
දෙපා,depa
තාමත්,thamath
ඩොලර්,dolar
කැමැත්තක්,kemeththak
පිළිගන්නා,piliganna
නැත්තේ,neththe
ආරම්භයේ,arambhaye
සිදුවීම,siduweema
සතුටට,sathutata
වසරක්,wasarak
රසය,rasaya
බුද්ධිමත්,buddhimath
පාසල,pasala
කලාපය,kalapaya
ඉක්මනට,ikmanata
අසළ,asala
අර්ධ,ardha
ස්වල්ප,swalpa
මිහිඳු,mihindu
ජනපද,janapada
කණ්ඩායමේ,kandayame
ඇසුරින්,esurin
ඇතිවූ,ethiwu
වාගෙ,wage
මෙහෙය,meheya
මිනිසකු,minisaku
බුද්ධාගම,buddhagama
පුරවා,purawa
පංච,pancha
නිපදවන,nipadawana
නිදහසේ,nidahase
දූ,du
ගෙවී,gewee
පුරුෂයා,purushaya
කැලෑ,kele
එන්ට,enta
අහන්න,ahanna
අසන්නට,asannata
අධ්‍යාත්මික,adhyathmika
විද්‍යුත්,widyuth
මෝඩ,moda
කළයුතු,kalayuthu
උ,u
සේම,sema
වළවල්,walawal
රබර්,rabar
මව්,maw
පි,pi
පත්‍රය,pathraya
දික්,dik
තැබීමට,thebeemata
සිහින,sihina
වියදම,wiyadama
රජයක්,rajayak
ප්‍රමාණයෙන්,pramanayen
තිස්,this
ගමනක්,gamanak
කලාපයේ,kalapaye
ඇත්තෙන්ම,eththenma
විස්තරය,wistharaya
බස්නාහිර,basnahira
පමණින්,pamanin
දනිමි,danimi
දකින්න,dakinna
කාටවත්,katawath
අනුමැතිය,anumethiya
සිර,sira
සන්නිවේදන,sanniwedana
ව්‍යාජ,wyaja
මුර,mura
භික්ෂුවට,bhikshuwata
පනවන,panawana
නොවේද,noweda
නිදානයෙන්,nidanayen
දැනගෙන,denagena
ජනවාර්ගික,janawargika
උපාසක,upasaka
උපමා,upama
සංචාරය,sancharaya
ශාලාවේ,shalawe
වැඩිපුර,wedipura
ඩඩ්ලි,dadli
කාපිරි,kapiri
කතුවරයා,kathuwaraya
ඍජු,riju
උපාය,upaya
සෙනෙවිරත්න,senewirathna
වෙලාවක්,welawak
ලයනල්,layanal
යුක්තිය,yukthiya
මුදලින්,mudalin
ප්‍රීතිය,preethiya
පරාක්‍රමබාහු,parakramabahu
දෙපාර්තමේන්තුවේ,departhamenthuwe
ගැටුම,getuma
කාමර,kamara
අංකය,ankaya
සේවකයන්,sewakayan
සුමංගල,sumangala
ශික්ෂා,shiksha
වුණ,wuna
මෝස්තර,mosthara
නෙළුම්,nelum
නිරන්තරයෙන්,nirantharayen
දෙසින්,desin
ජනයාට,janayata
ගුණාත්මක,gunathmaka
කොළඹට,kolambata
විජිත,wijitha
වැද,weda
වන්නා,wanna
ලබාගැනීමට,labageneemata
භාර්යාව,bharyawa
පාලම,palama
නොදැන,nodena
නිවැරැදි,niweredi
නවකතා,nawakatha
වියේ,wiye
වන්දි,wandi
බරපතළ,barapathala
පූජ්‍ය,pujya
ගාන්ධි,gandhi
ඉලක්ක,ilakka
වුනා,wuna
විෂයයන්,wishayayan
විශ්‍රාම,wishrama
භාෂාවෙන්,bhashawen
පෙළේ,pele
පසින්,pasin
නීතිඥ,neethigna
විවේක,wiweka
මිටි,miti
බැම්ම,bemma
පැන්,pen
ප්‍රඥාව,pragnawa
තොග,thoga
තීරණයක්,theeranayak
කොමියුනිස්ට්,komiyunist
කියන්ට,kiyanta
අගනා,agana
යුගයට,yugayata
බියක්,biyak
පෙරට,perata
පාසා,pasa
ගියෙමි,giyemi
කුමාරතුංග,kumarathunga
කවුරුවත්,kawuruwath
උපාධි,upadhi
අඩුපාඩු,adupadu
සූත්‍රයේ,suthraye
සීතාවක,seethawaka
සම්මා,samma
සටහනක්,satahanak
වෙලාවෙ,welawe
මධ්‍යයේ,madhyaye
නොගෙන,nogena
දාන,dana
තානාපති,thanapathi
අහෝසි,ahosi
හැඳින්වෙන්නේ,hendinwenne
ශේෂ,shesha
ලදැයි,ladeyi
මැතිවරණයේදී,methiwaranayedee
දිනයේ,dinaye
තීන්දු,theendu
ඇළ,ela
ස්පර්ශ,sparsha
සමාධි,samadhi
මැති,methi
මාක්ස්,maks
පොළොන්නරු,polonnaru
ප්‍රේම,prema
පක්‍ෂ,paksha
දෙන්නෙ,denne
කුමක්දැයි,kumakdeyi
කවීන්,kaween
හැවිරිදි,hewiridi
සවි,sawi
සංකේත,sanketha
පිහිටුවන,pihituwana
දහවල්,dahawal
හිතන,hithana
දැනෙන,denena
දායකත්වය,dayakathwaya
ආකාර,akara
අයහපත්,ayahapath
සිතුවා,sithuwa
සතුරු,sathuru
රහත්,rahath
කලාවේ,kalawe
අරමුණක්,aramunak
සන්තෝෂ,santhosha
රක්ෂණ,rakshana
මෙහෙයුම්,meheyum
භාරතයේ,bharathaye
පෙම්,pem
නොකරයි,nokarayi
දෝෂ,dosha
දූෂණ,dushana
දැකගත,dekagatha
තේරුම,theruma
ගෙනැවිත්,genewith
කාය,kaya
සිතන්නේ,sithanne
වෙරළ,werala
රාත්‍රිය,rathriya
මෙහා,meha
පුද්ගලයෙකු,pudgalayeku
ප්‍රතිසංස්කරණය,prathisanskaranaya
පන්තිය,panthiya
දෙනෙකුට,denekuta
තොප,thopa
ගැමුණු,gemunu
කුලී,kulee
ඉරණම,iranama
අල්ලාගෙන,allagena
සැබැවින්ම,sebewinma
වන්ට,wanta
බැලු,belu
පිළිගැනීමට,piligeneemata
ප්‍රාර්ථනා,prarthana
නොහැකිව,nohekiwa
නිරීක්ෂණ,nireekshana
නියත,niyatha
නැව්,new
ඊටත්,eetath
ඉල්ලීමක්,illeemak
ආදරේ,adare
අවධානයක්,awadhanayak
රටා,rata
නොහඟියි,nohangiyi
නොවන්නේ,nowanne
එන්නට,ennata
ඈතට,ethata
සේනාව,senawa
සිංහලයන්,sinhalayan
වෘත්තිය,wththiya
ලැබුණා,lebuna
නොතකා,nothaka
නුවරට,nuwarata
ධ්‍යාන,dhyana
දෙව්,dew
කැට,keta
ඇසුවා,esuwa
සෘජු,sju
සිද්ධීන්,siddheen
වෙන්නට,wennata
විම,wima
රෝහලට,rohalata
දකින්නේ,dakinne
එහෙයිනි,eheyini
සිටගෙන,sitagena
විශ්ලේෂණය,wishleshanaya
නියෝජිතයන්,niyojithayan
ධනවත්,dhanawath
තනියම,thaniyama
හිතන්නේ,hithanne
සෝදා,soda
සීනි,seeni
ශෝක,shoka
භවත්,bhawath
චන්ද්‍රිකා,chandrika
කෝපි,kopi
ඉදිරියෙහි,idiriyehi
ආසියානු,asiyanu
අලුතින්,aluthin
ලියුම,liyuma
දීල,deela
දාල,dala
කෙසෙල්,kesel
කරමිනි,karamini
යන්ත්‍රය,yanthraya
පොලොන්නරුව,polonnaruwa
නිලධාරීන්ට,niladhareenta
දිනකට,dinakata
තැන්වල,thenwala
ගොවීන්,goween
කැමතියි,kemathiyi
කතෝලික,katholika
ආකෘතිය,akthiya
අකමැති,akamethi
වැඩම,wedama
යෝග්‍ය,yogya
භික්ෂුහු,bhikshuhu
පිස්සු,pissu
පින්වත්,pinwath
දහමේ,dahame
තත්ත්වයේ,thaththwaye
ජනමාධ්‍ය,janamadhya
එනු,enu
හින්දා,hinda
හැකිවේ,hekiwe
සපත්තු,sapaththu
රුහුණු,ruhunu
මැතිවරණයෙන්,methiwaranayen
බැඳි,bendi
පසුපස,pasupasa
දෙකින්,dekin
දු,du
උක්ත,uktha
ළමයෙක්,lamayek
විකල්ප,wikalpa
වරෙක,wareka
මිනී,minee
පුලුවන්,puluwan
පට,pata
දෙනව,denawa
හිනා,hina
සමකාලීන,samakaleena
මොහොත,mohotha
මුහුණු,muhunu
ප්‍රතිකේෂ්ප,prathikeshpa
නැතත්,nethath
ධාතුව,dhathuwa
දෙකෙන්,deken
ගතිමි,gathimi
ක්‍රියාවන්,kriyawan
ඕක,oka
ආශා,asha
වර්ණය,warnaya
පිරිසට,pirisata
පැහැදිලිය,pehediliya
ගත්තෙ,gaththe
ඉඳගෙන,indagena
අවකාශ,awakasha
අනුශාසනා,anushasana
ලබාදී,labadee
බහු,bahu
පෙරමුණු,peramunu
දෙසැම්බර්,desembar
දාලා,dala
තල්ලු,thallu
ගල,gala
එතැනට,ethenata
හුදකලා,hudakala
සුදුසුකම්,sudusukam
සිනාවක්,sinawak
වඩන,wadana
මට්ටමක,mattamaka
බීජ,beeja
පාන්,pan
නසා,nasa
දැව,dewa
දරුවාගේ,daruwage
ගනුදෙනු,ganudenu
කළහොත්,kalahoth
එතැන,ethena
ඇතුලත්,ethulath
වැඩුණු,wedunu
වාර්තාවේ,warthawe
මෛත්‍රී,maithree
දැක්වෙන්නේ,dekwenne
කෝප,kopa
ඇප,epa
ආරම්භය,arambhaya
අත්හැර,athhera
මිහිරි,mihiri
පනස්,panas
දරුවකු,daruwaku
කැරේ,kere
කාට,kata
අන්ත,antha
හැඳ,henda
දිවෙන,diwena
දකුණේ,dakune
ක්‍රියාකාරකම්,kriyakarakam
අපිත්,apith
වැදි,wedi
රාජ්‍යයේ,rajyaye
